NAME                                      TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                      AGE    SELECTOR
alertmanager-operated                     ClusterIP   None             <none>        9093/TCP,9094/TCP,9094/UDP   160m   app.kubernetes.io/name=alertmanager
monitoring-grafana                        ClusterIP   172.20.100.78    <none>        80/TCP                       160m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=grafana
monitoring-kube-prometheus-alertmanager   ClusterIP   172.20.138.190   <none>        9093/TCP,8080/TCP            160m   alertmanager=monitoring-kube-prometheus-alertmanager,app.kubernetes.io/name=alertmanager
monitoring-kube-prometheus-operator       ClusterIP   172.20.155.189   <none>        443/TCP                      160m   app=kube-prometheus-stack-operator,release=monitoring
monitoring-kube-prometheus-prometheus     ClusterIP   172.20.19.60     <none>        9090/TCP,8080/TCP            160m   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=monitoring-kube-prometheus-prometheus
monitoring-kube-state-metrics             ClusterIP   172.20.172.225   <none>        8080/TCP                     160m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=kube-state-metrics
monitoring-prometheus-node-exporter       ClusterIP   172.20.166.218   <none>        9100/TCP                     160m   app.kubernetes.io/instance=monitoring,app.kubernetes.io/name=prometheus-node-exporter
prometheus-operated                       ClusterIP   None             <none>        9090/TCP                     160m   app.kubernetes.io/name=prometheus
